start_state,end_state,next_best_move
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': None, 'place': None}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'pick': 'yellow_block', 'place': 'red_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'table'}","{'pick': 'blue_block', 'place': 'red_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'blue_block'}","{'pick': 'blue_block', 'place': 'red_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'yellow_block', 'yellow_block': 'table'}","{'pick': 'blue_block', 'place': 'yellow_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'table', 'blue_block': 'yellow_block', 'yellow_block': 'red_block'}","{'pick': 'yellow_block', 'place': 'red_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'blue_block', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'red_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'blue_block', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'pick': 'red_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'blue_block', 'blue_block': 'yellow_block', 'yellow_block': 'table'}","{'pick': 'blue_block', 'place': 'yellow_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'yellow_block', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'red_block', 'place': 'yellow_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'yellow_block', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'red_block': 'yellow_block', 'blue_block': 'red_block', 'yellow_block': 'table'}","{'pick': 'red_block', 'place': 'yellow_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'pick': None, 'place': None}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'yellow_block', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'table', 'blue_block': 'yellow_block', 'yellow_block': 'red_block'}","{'pick': 'blue_block', 'place': 'yellow_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'blue_block', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'blue_block', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'blue_block', 'blue_block': 'yellow_block', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'yellow_block', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'yellow_block', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'blue_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'red_block': 'yellow_block', 'blue_block': 'red_block', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'red_block'}","{'pick': 'yellow_block', 'place': 'red_block'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'pick': None, 'place': None}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'table'}","{'pick': 'yellow_block', 'place': 'table'}"
"{'red_block': 'table', 'blue_block': 'table', 'yellow_block': 'blue_block'}","{'red_block': 'table', 'blue_block': 'red_block', 'yellow_block': 'blue_block'}","{'pick': 'yellow_block', 'place': 'table'}"
